"organization","slug","dataset","resource","url","operations","columns","fact"
"SE","se","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/se","Rutina de R",NA,"133 Es el número de bases de datos que la dependencia SE ha publicado. "
"SECTUR","sectur","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sectur","Rutina de R",NA,"8 Es el número de bases de datos que la dependencia SECTUR ha publicado. "
"SEDATU","sedatu","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sedatu","Rutina de R",NA,"30 Es el número de bases de datos que la dependencia SEDATU ha publicado. "
"SEDENA","sedena","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sedena","Rutina de R",NA,"6 Es el número de bases de datos que la dependencia SEDENA ha publicado. "
"SEDESOL","sedesol","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sedesol","Rutina de R",NA,"804 Es el número de bases de datos que la dependencia SEDESOL ha publicado. "
"SEGOB","segob","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/segob","Rutina de R",NA,"102 Es el número de bases de datos que la dependencia SEGOB ha publicado. "
"SEMARNAT","semarnat","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/semarnat","Rutina de R",NA,"49 Es el número de bases de datos que la dependencia SEMARNAT ha publicado. "
"SENER","sener","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sener","Rutina de R",NA,"151 Es el número de bases de datos que la dependencia SENER ha publicado. "
"SEP","sep","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sep","Rutina de R",NA,"63 Es el número de bases de datos que la dependencia SEP ha publicado. "
"SFP","sfp","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sfp","Rutina de R",NA,"30 Es el número de bases de datos que la dependencia SFP ha publicado. "
"SHCP","shcp","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/shcp","Rutina de R",NA,"59 Es el número de bases de datos que la dependencia SHCP ha publicado. "
"STPS","stps","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/stps","Rutina de R",NA,"14 Es el número de bases de datos que la dependencia STPS ha publicado. "
